venue,n_race,date
HV,14,1987/10/21
ST,14,1987/10/24
HV,14,1987/10/28
HV,14,1987/11/04
HV,14,1987/12/02
ST,14,1987/11/07
HV,14,1987/11/11
ST,14,1987/11/14
ST,14,1987/11/22
HV,14,1987/11/25
ST,14,1987/11/28
ST,14,1987/12/05
HV,14,1987/12/09
ST,14,1987/12/13
HV,14,1987/12/16
ST,14,1987/12/19
HV,14,1987/12/23
HV,14,1987/12/30
HV,14,1988/01/01
HV,14,1988/02/03
ST,14,1988/01/10
HV,14,1988/01/13
ST,14,1988/01/16
HV,14,1988/01/20
ST,14,1988/01/24
HV,14,1988/01/27
ST,14,1988/01/30
ST,14,1988/02/06
HV,14,1988/02/10
HV,14,1988/02/19
HV,14,1988/02/24
ST,14,1988/02/27
HV,14,1988/03/02
HV,14,1988/04/02
ST,14,1988/03/06
HV,14,1988/03/09
ST,14,1988/03/12
ST,14,1988/03/19
HV,14,1988/03/23
HV,14,1988/03/26
HV,14,1988/03/30
HV,14,1988/04/06
HV,14,1988/04/09
HV,14,1988/04/13
ST,14,1988/04/16
HV,14,1988/04/20
ST,14,1988/04/24
ST,14,1988/04/30
HV,14,1988/05/04
ST,14,1988/05/07
HV,14,1988/05/11
ST,14,1988/05/15
HV,14,1988/05/18
ST,14,1988/05/21
HV,14,1988/05/25
ST,14,1988/05/28
ST,14,1988/09/17
ST,14,1988/09/25
ST,14,1988/10/01
HV,14,1988/11/02
HV,14,1988/10/05
ST,14,1988/10/09
HV,14,1988/10/12
ST,14,1988/10/15
ST,14,1988/10/22
HV,14,1988/10/26
ST,14,1988/10/30
HV,14,1988/11/05
HV,14,1988/11/09
HV,14,1988/11/12
HV,14,1988/11/16
HV,14,1988/11/19
ST,14,1988/11/26
HV,14,1988/11/30
HV,14,1989/01/02
ST,14,1988/12/03
ST,14,1989/01/07
HV,14,1989/01/11
ST,14,1989/01/15
HV,14,1989/01/18
ST,14,1989/01/21
HV,14,1989/01/25
ST,14,1989/01/29
HV,14,1988/12/07
ST,14,1988/12/11
HV,14,1988/12/14
ST,14,1988/12/17
HV,14,1988/12/21
HV,14,1988/12/28
HV,14,1989/02/01
HV,14,1989/02/08
HV,14,1989/02/11
HV,14,1989/02/15
HV,14,1989/02/18
HV,14,1989/02/22
ST,14,1989/02/26
ST,14,1989/04/01
HV,14,1989/03/01
ST,14,1989/04/08
HV,14,1989/04/12
ST,14,1989/04/15
HV,14,1989/04/19
ST,14,1989/04/22
HV,14,1989/04/26
ST,14,1989/04/30
ST,14,1989/03/04
HV,14,1989/03/08
ST,14,1989/03/11
HV,14,1989/03/15
ST,14,1989/03/19
HV,14,1989/03/22
ST,14,1989/03/25
ST,14,1989/03/27
HV,14,1989/05/03
ST,14,1989/05/06
ST,14,1989/05/14
HV,14,1989/05/17
ST,14,1989/05/20
HV,14,1989/05/24
ST,14,1989/05/28
ST,14,1989/09/16
HV,14,1989/09/20
ST,14,1989/09/23
HV,14,1989/09/27
HV,14,1989/11/01
ST,14,1989/10/01
ST,14,1989/11/04
HV,14,1989/11/08
ST,14,1989/11/11
HV,14,1989/11/18
HV,14,1989/11/22
HV,14,1989/11/25
HV,14,1989/11/29
HV,14,1989/10/04
HV,14,1989/10/07
